Data Type,Size (Bytes),Iterations,Success Rate,Failure Rate,Avg Time Taken(microseconds),Mode,Count
char,256,1000000,1.000000,0.000000,0.714640,single,0
char,512,1000000,1.000000,0.000000,0.682193,single,0
char,1024,1000000,1.000000,0.000000,1.079527,single,0
char,2048,1000000,1.000000,0.000000,0.801307,single,0
char,4096,1000000,1.000000,0.000000,0.993642,single,0
char,8192,1000000,1.000000,0.000000,1.168348,single,0
char,16384,1000000,1.000000,0.000000,2.255838,single,0
char,32768,1000000,1.000000,0.000000,6.213323,single,0
char,65536,1000000,1.000000,0.000000,10.927080,single,0
char,256,10000000,1.000000,0.000000,0.889629,thread,10
char,512,10000000,1.000000,0.000000,0.758003,thread,10
char,1024,10000000,1.000000,0.000000,0.986529,thread,10
char,2048,10000000,1.000000,0.000000,1.155435,thread,10
char,4096,10000000,1.000000,0.000000,1.061867,thread,10
char,8192,10000000,1.000000,0.000000,1.248547,thread,10
char,16384,10000000,1.000000,0.000000,2.826442,thread,10
char,32768,10000000,1.000000,0.000000,6.221426,thread,10
char,65536,10000000,1.000000,0.000000,16.123554,thread,10
char,256,20000000,1.000000,0.000000,0.937843,thread,20
char,512,20000000,1.000000,0.000000,0.859900,thread,20
char,1024,20000000,1.000000,0.000000,0.797079,thread,20
char,2048,20000000,1.000000,0.000000,1.159532,thread,20
char,4096,20000000,1.000000,0.000000,1.090141,thread,20
char,8192,20000000,1.000000,0.000000,1.570499,thread,20
char,16384,20000000,1.000000,0.000000,2.615371,thread,20
char,32768,20000000,1.000000,0.000000,6.949349,thread,20
char,65536,20000000,1.000000,0.000000,16.514398,thread,20
char,256,40000000,1.000000,0.000000,1.287723,thread,40
char,512,40000000,1.000000,0.000000,1.267630,thread,40
char,1024,40000000,1.000000,0.000000,1.293583,thread,40
char,2048,40000000,1.000000,0.000000,1.370795,thread,40
char,4096,40000000,1.000000,0.000000,1.538227,thread,40
char,8192,40000000,1.000000,0.000000,2.398263,thread,40
char,16384,40000000,1.000000,0.000000,6.114210,thread,40
char,32768,40000000,1.000000,0.000000,11.948631,thread,40
